"","name","phone","is_closed","rating","distance","review_count","price","city","state","zipcode","latitude","longitude","price_2","is_open"
"1","Burger & Lobster","+16468337532",FALSE,4,3860.92323061169,3915,"$$","New York","NY","10011",40.74016,-73.993372,2,1
"2","Joe's Shanghai","+12122338888",FALSE,4,1066.50854988104,4716,"$$","New York","NY","10011",40.74016,-73.993372,2,1
"3","Upstate","+16467915400",FALSE,4.5,2411.91871787036,1467,"$$","New York","NY","10011",40.74016,-73.993372,2,1
"4","Amélie","+12125332962",FALSE,4.5,3036.04935577211,1844,"$$","New York","NY","10011",40.74016,-73.993372,2,1
"5","Tasty Hand-Pulled Noodles","+12127911817",FALSE,4,1020.19598802782,1284,"$$","New York","NY","10011",40.74016,-73.993372,2,1
"6","Jacob's Pickles","+12124705566",FALSE,4,9166.96473780151,2644,"$$","New York","NY","10011",40.74016,-73.993372,2,1
"7","Jack's Wife Freda","+12125108550",FALSE,4,1876.74644543863,1357,"$$","New York","NY","10011",40.74016,-73.993372,2,1
"8","Soco","+17187831936",FALSE,4,2819.75108249311,1615,"$$","New York","NY","10011",40.74016,-73.993372,2,1
"9","Root & Bone","+16466827080",FALSE,4,2129.53785973032,1202,"$$","New York","NY","10011",40.74016,-73.993372,2,1
"10","Jane","+12122547000",FALSE,4,2489.08915836721,2762,"$$","New York","NY","10011",40.74016,-73.993372,2,1
"11","Ippudo East Village","+12123880088",FALSE,4,2855.55521950748,9041,"$$","New York","NY","10011",40.74016,-73.993372,2,1
"12","Thursday Kitchen","+16467558088",FALSE,4.5,2613.7820905318,683,"$$","New York","NY","10011",40.74016,-73.993372,2,1
"13","SaltBrick Tavern","+13474179112",FALSE,4.5,1397.00223746576,19,"$$","New York","NY","10011",40.74016,-73.993372,2,1
"14","Brooklyn Label","+13476894072",FALSE,5,4227.68999709189,6,"$$","New York","NY","10011",40.74016,-73.993372,2,1
"15","Thai Villa","+12128029999",FALSE,4.5,3744.57039979745,998,"$$","New York","NY","10011",40.74016,-73.993372,2,1
"16","Pies-n-Thighs","+13475296090",FALSE,4,2843.26969046872,2396,"$$","New York","NY","10011",40.74016,-73.993372,2,1
"17","Bea","+12126021910",FALSE,4,5979.21037110754,1553,"$$","New York","NY","10011",40.74016,-73.993372,2,1
"18","Ginger and Lemongrass","+16468761237",FALSE,4.5,1684.91029497814,25,"$$","New York","NY","10011",40.74016,-73.993372,2,1
"19","Nyonya","+12123343669",FALSE,4,1524.98583315547,1698,"$$","New York","NY","10011",40.74016,-73.993372,2,1
"20","The Smith","+12126442700",FALSE,4,5960.16818305823,1738,"$$","New York","NY","10011",40.74016,-73.993372,2,1
"21","Cafe Habana","+12126252001",FALSE,4,1951.84463473415,2952,"$$","New York","NY","10011",40.74016,-73.993372,2,1
"22","Yaso Tangbao","+19293377599",FALSE,4,1654.66544355237,499,"$$","New York","NY","10011",40.74016,-73.993372,2,1
"23","Shanghai Asian Manor","+12127666311",FALSE,4,1072.46534019656,1193,"$$","New York","NY","10011",40.74016,-73.993372,2,1
"24","Celestine","+17185225356",FALSE,4.5,544.339251064734,23,"$$","New York","NY","10011",40.74016,-73.993372,2,1
"25","Luke's Lobster FiDi","+12127471700",FALSE,4.5,1392.70339871335,869,"$$","New York","NY","10011",40.74016,-73.993372,2,1
"26","Sugar Freak","+17186061900",FALSE,4,9321.07223118187,1244,"$$","New York","NY","10011",40.74016,-73.993372,2,1
"27","The Boil","+12129258815",FALSE,4.5,1591.78160846383,1529,"$$","New York","NY","10011",40.74016,-73.993372,2,1
"28","The Osprey","+13476962505",FALSE,5,388.702828196534,3,"$$","New York","NY","10011",40.74016,-73.993372,2,1
"29","Breakroom","+12122272802",FALSE,4.5,1338.11494254309,1284,"$$","New York","NY","10011",40.74016,-73.993372,2,1
"30","Atrium Dumbo","+17188581095",FALSE,4,373.16188709882,486,"$$","New York","NY","10011",40.74016,-73.993372,2,1
"31","Juliana's Pizza","+17185966700",FALSE,4.5,323.20506300743,1481,"$$","New York","NY","10011",40.74016,-73.993372,2,1
"32","Buddakan","+12129896699",FALSE,4,4183.12441597337,3281,"$$","New York","NY","10011",40.74016,-73.993372,2,1
"33","Lam Zhou Handmade Noodle & Dumpling","+16466457288",FALSE,4,1148.23104847953,1225,"$$","New York","NY","10011",40.74016,-73.993372,2,1
"34","Luke's Lobster Brooklyn Bridge Park-DUMBO","+19178827516",FALSE,4,217.582179142494,212,"$$","New York","NY","10011",40.74016,-73.993372,2,1
"35","Pig and Khao","+12129204485",FALSE,4,1733.0778315221,1135,"$$","New York","NY","10011",40.74016,-73.993372,2,1
"36","Buttermilk Channel","+17188528490",FALSE,4,3307.61995993124,1610,"$$","New York","NY","10011",40.74016,-73.993372,2,1
"37","Noodle Village","+12122330788",FALSE,4,1041.68781992248,728,"$$","New York","NY","10011",40.74016,-73.993372,2,1
"38","Szechuan Mountain House","+19173883866",FALSE,4,2686.63414732475,31,"$$","New York","NY","10011",40.74016,-73.993372,2,1
"39","Hometown Bar-B-Que","+13472944644",FALSE,4,3862.74177386818,908,"$$","New York","NY","10011",40.74016,-73.993372,2,1
"40","Hole in the Wall","+12126029991",FALSE,4.5,1015.04811572617,178,"$$","New York","NY","10011",40.74016,-73.993372,2,1
"41","Peaches HotHouse","+17184839111",FALSE,4,4915.41978952538,894,"$$","New York","NY","10011",40.74016,-73.993372,2,1
"42","Suspenders","+12127325005",FALSE,4,1664.79213406976,135,"$$","New York","NY","10011",40.74016,-73.993372,2,1
"43","Tacos Project","+17184866222",FALSE,4.5,4515.96541848514,17,"$$","New York","NY","10011",40.74016,-73.993372,2,1
"44","Fishmarket Restaurant","+19173638101",FALSE,4.5,664.732518563628,395,"$$","New York","NY","10011",40.74016,-73.993372,2,1
"45","Grimaldi's","+17188584300",FALSE,3.5,331.65592299899,4169,"$$","New York","NY","10011",40.74016,-73.993372,2,1
"46","Sweet Chick","+16466570233",FALSE,4,1901.54562971421,1102,"$$","New York","NY","10011",40.74016,-73.993372,2,1
"47","Tanner Smiths","+16465902034",FALSE,4.5,6634.03824462159,879,"$$","New York","NY","10011",40.74016,-73.993372,2,1
"48","Ippudo Westside","+12129742500",FALSE,4,6492.94057034527,2897,"$$","New York","NY","10011",40.74016,-73.993372,2,1
"49","Uglyduckling","+17184513825",FALSE,4,2174.28388165897,289,"$$","New York","NY","10011",40.74016,-73.993372,2,1
"50","Up Thai","+12122561188",FALSE,4.5,7801.49067826262,1456,"$$","New York","NY","10011",40.74016,-73.993372,2,1
"51","République","+13103626115",FALSE,4,2074.10018606326,3179,"$$","Los Angeles","CA","90036",34.06415,-118.34367,2,1
"52","Gogobop Korean Rice Bar","+12133851089",FALSE,5,1986.44582067597,74,"$$","Los Angeles","CA","90036",34.06415,-118.34367,2,1
"53","The Morrison","+13236671839",FALSE,4.5,8440.75208751216,3119,"$$","Los Angeles","CA","90036",34.06415,-118.34367,2,1
"54","Bestia","+12135145724",FALSE,4.5,9035.92705784309,4332,"$$","Los Angeles","CA","90036",34.06415,-118.34367,2,1
"55","Howlin' Ray's","+12139358399",FALSE,4.5,7537.62540653538,2317,"$$","Los Angeles","CA","90036",34.06415,-118.34367,2,1
"56","Mimimyunga","+12133893464",FALSE,4.5,1240.3152887835,42,"$$","Los Angeles","CA","90036",34.06415,-118.34367,2,1
"57","Pine & Crane","+13236681128",FALSE,4.5,5194.41610313046,1493,"$$","Los Angeles","CA","90036",34.06415,-118.34367,2,1
"58","Faith & Flower","+12132390642",FALSE,4,5757.49363834132,1725,"$$","Los Angeles","CA","90036",34.06415,-118.34367,2,1
"59","BROKEN MOUTH | Lee's Homestyle","+12134189588",FALSE,5,6706.2647483816,57,"$$","Los Angeles","CA","90036",34.06415,-118.34367,2,1
"60","Komodo","+13102465153",FALSE,4.5,5814.89321253619,1595,"$$","Los Angeles","CA","90036",34.06415,-118.34367,2,1
"61","Marugame Monzo","+12133469762",FALSE,4.5,7607.6466114157,2528,"$$","Los Angeles","CA","90036",34.06415,-118.34367,2,1
"62","Bottega Louie","+12138021470",FALSE,4,6186.44053845325,14063,"$$","Los Angeles","CA","90036",34.06415,-118.34367,2,1
"63","Slurpin' Ramen Bar","+12133888607",FALSE,4.5,1425.70256908338,1995,"$$","Los Angeles","CA","90036",34.06415,-118.34367,2,1
"64","Kopan Ramen - Los Angeles","+12135683548",FALSE,4.5,1090.95172497413,57,"$$","Los Angeles","CA","90036",34.06415,-118.34367,2,1
"65","Yup Dduk La","+12132632355",FALSE,4.5,1923.7487100656,948,"$$","Los Angeles","CA","90036",34.06415,-118.34367,2,1
"66","My Two Cents","+13238799881",FALSE,4.5,3752.55568915332,229,"$$","Los Angeles","CA","90036",34.06415,-118.34367,2,1
"67","Providence","+13234604170",FALSE,4.5,2580.76176216879,2282,"$$","Los Angeles","CA","90036",34.06415,-118.34367,2,1
"68","Kang Ho-dong Baekjeong","+12133849678",FALSE,4.5,2232.60087492677,3377,"$$","Los Angeles","CA","90036",34.06415,-118.34367,2,1
"69","Bon Shabu","+12133185004",FALSE,4,1794.44984472887,92,"$$","Los Angeles","CA","90036",34.06415,-118.34367,2,1
"70","MulDaePo BBQ","+12136747420",FALSE,5,1282.23305707896,9,"$$","Los Angeles","CA","90036",34.06415,-118.34367,2,1
"71","Han Bat Shul Lung Tang","+12133839499",FALSE,4.5,1168.07672913569,1634,"$$","Los Angeles","CA","90036",34.06415,-118.34367,2,1
"72","Perch","+12138021770",FALSE,4,6602.91542773673,5097,"$$","Los Angeles","CA","90036",34.06415,-118.34367,2,1
"73","Daikokuya Little Tokyo","+12136261680",FALSE,4,7600.7295890771,7225,"$$","Los Angeles","CA","90036",34.06415,-118.34367,2,1
"74","The Parker Room","+13237450041",FALSE,5,3846.17905813738,84,"$$","Los Angeles","CA","90036",34.06415,-118.34367,2,1
"75","A Food Affair","+13105579795",FALSE,4.5,5915.247295556,927,"$$","Los Angeles","CA","90036",34.06415,-118.34367,2,1
"76","Bäco Mercat","+12136878808",FALSE,4,7007.67877904827,2296,"$$","Los Angeles","CA","90036",34.06415,-118.34367,2,1
"77","Yuko Kitchen","+13239334020",FALSE,4.5,2473.28407323755,1253,"$$","Los Angeles","CA","90036",34.06415,-118.34367,2,1
"78","Animal","+13237829225",FALSE,4,4193.65010291494,3082,"$$","Los Angeles","CA","90036",34.06415,-118.34367,2,1
"79","Pasta Sisters","+13238705271",FALSE,4.5,1618.87682298961,744,"$$","Los Angeles","CA","90036",34.06415,-118.34367,2,1
"80","To Soc Chon","+12133880022",FALSE,5,1323.50037102365,11,"$$","Los Angeles","CA","90036",34.06415,-118.34367,2,1
"81","The Bun Shop","+13234681031",FALSE,4,1823.89639865824,1148,"$$","Los Angeles","CA","90036",34.06415,-118.34367,2,1
"82","EMC Seafood & Raw Bar","+12133519988",FALSE,4,2067.78926128541,2839,"$$","Los Angeles","CA","90036",34.06415,-118.34367,2,1
"83","Chego!","+13233808680",FALSE,4,7530.12424157418,1511,"$$","Los Angeles","CA","90036",34.06415,-118.34367,2,1
"84","Masa of Echo Park","+12139891558",FALSE,4,5962.1247635908,3405,"$$","Los Angeles","CA","90036",34.06415,-118.34367,2,1
"85","Hae Jang Chon Korean BBQ Restaurant","+12133898777",FALSE,4,1428.3680513331,3826,"$$","Los Angeles","CA","90036",34.06415,-118.34367,2,1
"86","Little Sister","+12136283146",FALSE,4,6214.25491102,863,"$$","Los Angeles","CA","90036",34.06415,-118.34367,2,1
"87","Hangari Bajirak Kalgooksoo","+12133882326",FALSE,4.5,2197.88327979006,988,"$$","Los Angeles","CA","90036",34.06415,-118.34367,2,1
"88","Street Food Of Seoul","+12133815600",FALSE,4,2109.29557348549,87,"$$","Los Angeles","CA","90036",34.06415,-118.34367,2,1
"89","Manuela","+13238490480",FALSE,4,8169.10739609866,513,"$$","Los Angeles","CA","90036",34.06415,-118.34367,2,1
"90","Beer Belly","+12133872337",FALSE,4,1220.97162773908,2136,"$$","Los Angeles","CA","90036",34.06415,-118.34367,2,1
"91","Philippe the Original","+12136283781",FALSE,4,7773.51442894449,5269,"$$","Los Angeles","CA","90036",34.06415,-118.34367,2,1
"92","Running Goose","+13234691080",FALSE,4.5,4390.11073515668,453,"$$","Los Angeles","CA","90036",34.06415,-118.34367,2,1
"93","Tirsa's","+12138789030",FALSE,4.5,7136.68033249939,16,"$$","Los Angeles","CA","90036",34.06415,-118.34367,2,1
"94","Bossa Nova on Sunset","+13234367999",FALSE,3.5,4699.58221106466,2617,"$$","Los Angeles","CA","90036",34.06415,-118.34367,2,1
"95","Maccheroni Republic","+12133469725",FALSE,4,6831.0941710856,1883,"$$","Los Angeles","CA","90036",34.06415,-118.34367,2,1
"96","189 by Dominique Ansel","+13236020096",FALSE,3.5,3521.74547663376,78,"$$","Los Angeles","CA","90036",34.06415,-118.34367,2,1
"97","Cleo","+13239621711",FALSE,4,4566.78425062485,1634,"$$","Los Angeles","CA","90036",34.06415,-118.34367,2,1
"98","Marmalade Cafe - LA","+13239540088",FALSE,4,3703.24737774398,1349,"$$","Los Angeles","CA","90036",34.06415,-118.34367,2,1
"99","Eggslut","+12136250292",FALSE,4,6796.4885023272,4599,"$$","Los Angeles","CA","90036",34.06415,-118.34367,2,1
"100","Blu Jam Café","+13239519191",FALSE,4,3644.34287929859,3976,"$$","Los Angeles","CA","90036",34.06415,-118.34367,2,1
"101","Girl & the Goat","+13124926262",FALSE,4.5,3401.95425180256,6719,"$$$","Chicago","IL","60607",41.8841049992939,-87.6479440725005,3,1
"102","The Purple Pig","+13124641744",FALSE,4,4675.68617777544,5568,"$$$","Chicago","IL","60607",41.8841049992939,-87.6479440725005,3,1
"103","Au Cheval","+13129294580",FALSE,4.5,3376.59842691563,4589,"$$$","Chicago","IL","60607",41.8841049992939,-87.6479440725005,3,1
"104","Mable's Table","+17739047433",FALSE,5,1352.32585570225,37,"$$$","Chicago","IL","60607",41.8841049992939,-87.6479440725005,3,1
"105","The Late Bloomer","+13128015955",FALSE,4.5,2504.92108326472,35,"$$$","Chicago","IL","60607",41.8841049992939,-87.6479440725005,3,1
"106","Soule","+13125263825",FALSE,4.5,1060.1141576497,16,"$$$","Chicago","IL","60607",41.8841049992939,-87.6479440725005,3,1
"107","Little Bad Wolf","+17739426399",FALSE,4.5,8727.81160248494,896,"$$$","Chicago","IL","60607",41.8841049992939,-87.6479440725005,3,1
"108","The Dearborn","+13123841242",FALSE,4.5,4631.82514736245,532,"$$$","Chicago","IL","60607",41.8841049992939,-87.6479440725005,3,1
"109","Little Goat Diner","+13128883455",FALSE,4,3332.44459479238,3488,"$$$","Chicago","IL","60607",41.8841049992939,-87.6479440725005,3,1
"110","Summer House Santa Monica","+17736344100",FALSE,4,2763.8233049286,1554,"$$$","Chicago","IL","60607",41.8841049992939,-87.6479440725005,3,1
"111","Xoco","+13126611434",FALSE,4,4209.66486428611,3279,"$$$","Chicago","IL","60607",41.8841049992939,-87.6479440725005,3,1
"112","S.K.Y","+13128461077",FALSE,5,5516.60029917257,19,"$$$","Chicago","IL","60607",41.8841049992939,-87.6479440725005,3,1
"113","Alinea ","+13128670110",FALSE,4.5,2610.28948847189,1721,"$$$","Chicago","IL","60607",41.8841049992939,-87.6479440725005,3,1
"114","Bavette's Bar & Boeuf","+13126248154",FALSE,4.5,3968.64750841135,1768,"$$$","Chicago","IL","60607",41.8841049992939,-87.6479440725005,3,1
"115","Kome Japanese Eatery","+13123209783",FALSE,4.5,6258.03131267975,29,"$$$","Chicago","IL","60607",41.8841049992939,-87.6479440725005,3,1
"116","Smoque BBQ","+17735457427",FALSE,4.5,6498.88474842414,3633,"$$$","Chicago","IL","60607",41.8841049992939,-87.6479440725005,3,1
"117","Small Cheval","",FALSE,4,909.42870707003,688,"$$$","Chicago","IL","60607",41.8841049992939,-87.6479440725005,3,1
"118","Ca Phe Da","",FALSE,4.5,5625.34135911077,14,"$$$","Chicago","IL","60607",41.8841049992939,-87.6479440725005,3,1
"119","Crisp","+17736977610",FALSE,4.5,4411.79130771066,2496,"$$$","Chicago","IL","60607",41.8841049992939,-87.6479440725005,3,1
"120","Cafe Ba-Ba-Reeba!","+17739355000",FALSE,4,2844.29473157921,3166,"$$$","Chicago","IL","60607",41.8841049992939,-87.6479440725005,3,1
"121","The Delta","+17733601793",FALSE,4.5,761.1637059425,66,"$$$","Chicago","IL","60607",41.8841049992939,-87.6479440725005,3,1
"122","Knife & Tine","+17736978311",FALSE,4,2475.64528095309,492,"$$$","Chicago","IL","60607",41.8841049992939,-87.6479440725005,3,1
"123","Del Seoul","+17732484227",FALSE,4,3944.41185304418,1736,"$$$","Chicago","IL","60607",41.8841049992939,-87.6479440725005,3,1
"124","En Hakkore","+17737729880",FALSE,4.5,1104.68370691785,613,"$$$","Chicago","IL","60607",41.8841049992939,-87.6479440725005,3,1
"125","Quartino Ristorante","+13126985000",FALSE,4,4290.83829116021,3777,"$$$","Chicago","IL","60607",41.8841049992939,-87.6479440725005,3,1
"126","Wildberry Pancakes and Cafe","+13129389777",FALSE,4.5,5083.10410612699,4074,"$$$","Chicago","IL","60607",41.8841049992939,-87.6479440725005,3,1
"127","Giant","+17732520997",FALSE,4.5,2802.88676936522,215,"$$$","Chicago","IL","60607",41.8841049992939,-87.6479440725005,3,1
"128","Forbidden Root","+13129292202",FALSE,4.5,1120.92727137551,285,"$$$","Chicago","IL","60607",41.8841049992939,-87.6479440725005,3,1
"129","Avec","+13123772002",FALSE,4.5,3671.00749253755,1883,"$$$","Chicago","IL","60607",41.8841049992939,-87.6479440725005,3,1
"130","The VIG Chicago","+13129822186",FALSE,4,3624.48572066861,270,"$$$","Chicago","IL","60607",41.8841049992939,-87.6479440725005,3,1
"131","MingHin Cuisine","+13128081999",FALSE,4,6775.00059207226,1652,"$$$","Chicago","IL","60607",41.8841049992939,-87.6479440725005,3,1
"132","SafeHouse Chicago","+13123131007",FALSE,4.5,4479.5644971606,430,"$$$","Chicago","IL","60607",41.8841049992939,-87.6479440725005,3,1
"133","Min's Noodle House","+13124652999",FALSE,4.5,8194.72739833086,146,"$$$","Chicago","IL","60607",41.8841049992939,-87.6479440725005,3,1
"134","Feed","+17734894600",FALSE,4,1920.22989394923,570,"$$$","Chicago","IL","60607",41.8841049992939,-87.6479440725005,3,1
"135","3 Arts Club Cafe","+13124759116",FALSE,4.5,3913.47168771982,599,"$$$","Chicago","IL","60607",41.8841049992939,-87.6479440725005,3,1
"136","Mother Cluckers Kitchen","+17736854630",FALSE,4.5,9936.17942700241,521,"$$$","Chicago","IL","60607",41.8841049992939,-87.6479440725005,3,1
"137","The Gage","+13123724243",FALSE,4,5157.73521232909,2355,"$$$","Chicago","IL","60607",41.8841049992939,-87.6479440725005,3,1
"138","Irazu Costa Rican Restaurant","+17732525687",FALSE,4,1297.35613030979,1771,"$$$","Chicago","IL","60607",41.8841049992939,-87.6479440725005,3,1
"139","Bellemore","+13126670104",FALSE,4,3710.66078362471,11,"$$$","Chicago","IL","60607",41.8841049992939,-87.6479440725005,3,1
"140","Nini's Deli","+13122439822",FALSE,5,1920.98732161259,449,"$$$","Chicago","IL","60607",41.8841049992939,-87.6479440725005,3,1
"141","Chicago q","+13126421160",FALSE,4,3936.82287315842,1613,"$$$","Chicago","IL","60607",41.8841049992939,-87.6479440725005,3,1
"142","En Hakkore 2.0","+17732785959",FALSE,4.5,481.9704701154,268,"$$$","Chicago","IL","60607",41.8841049992939,-87.6479440725005,3,1
"143","Bandera Restaurant","+13126443524",FALSE,4,4717.67584719781,1533,"$$$","Chicago","IL","60607",41.8841049992939,-87.6479440725005,3,1
"144","Oiistar","+17733608791",FALSE,4,516.736545814944,740,"$$$","Chicago","IL","60607",41.8841049992939,-87.6479440725005,3,1
"145","Dove's Luncheonette","+17736454060",FALSE,4,489.610627817838,507,"$$$","Chicago","IL","60607",41.8841049992939,-87.6479440725005,3,1
"146","Three Dots and a Dash","+13126104220",FALSE,4,4232.7281041979,2097,"$$$","Chicago","IL","60607",41.8841049992939,-87.6479440725005,3,1
"147","Farmhouse Chicago","+13122804960",FALSE,4,3628.51673756437,1082,"$$$","Chicago","IL","60607",41.8841049992939,-87.6479440725005,3,1
"148","Bluebird","+17736611531",FALSE,4.5,4186.26852865288,80,"$$$","Chicago","IL","60607",41.8841049992939,-87.6479440725005,3,1
"149","Boka","+13123376070",FALSE,4,2625.88268886275,1081,"$$$","Chicago","IL","60607",41.8841049992939,-87.6479440725005,3,1
"150","Portillo's Hot Dogs & Barnelli's Salad Bowl","+13125878910",FALSE,4,4043.05720628334,3909,"$$$","Chicago","IL","60607",41.8841049992939,-87.6479440725005,3,1
"151","Spicy Girl","+18326237990",FALSE,4,3311.90943152018,40,"$$","Houston","TX","77002",29.7389633420875,-95.3801736608148,2,1
"152","Oxbow 7","+17134876137",FALSE,4,723.327114130056,35,"$$","Houston","TX","77002",29.7389633420875,-95.3801736608148,2,1
"153","Hearsay Gastro Lounge","+17132258079",FALSE,4,156.087005720466,1276,"$$","Houston","TX","77002",29.7389633420875,-95.3801736608148,2,1
"154","The French Fry House","+17134975860",FALSE,4.5,3622.58453281417,20,"$$","Houston","TX","77002",29.7389633420875,-95.3801736608148,2,1
"155","JuiceLand","+18324879914",FALSE,5,4076.49898522594,11,"$$","Houston","TX","77002",29.7389633420875,-95.3801736608148,2,1
"156","Kitchen 713","+17138427114",FALSE,4,4695.34616409197,625,"$$","Houston","TX","77002",29.7389633420875,-95.3801736608148,2,1
"157","Fabian's Latin Flavors","+17132270440",FALSE,4.5,129.84533958636,14,"$$","Houston","TX","77002",29.7389633420875,-95.3801736608148,2,1
"158","Ritual","+18322035180",FALSE,4,3382.35579715252,590,"$$","Houston","TX","77002",29.7389633420875,-95.3801736608148,2,1
"159","The Pho Spot","",FALSE,5,334.846454998654,38,"$$","Houston","TX","77002",29.7389633420875,-95.3801736608148,2,1
"160","Field & Tides","+17138616143",FALSE,4,4233.2272727029,224,"$$","Houston","TX","77002",29.7389633420875,-95.3801736608148,2,1
"161","The Breakfast Klub","+17135288561",FALSE,4.5,3371.20757710452,2973,"$$","Houston","TX","77002",29.7389633420875,-95.3801736608148,2,1
"162","Pokéworks","+18322717392",FALSE,4.5,3895.08170144264,94,"$$","Houston","TX","77002",29.7389633420875,-95.3801736608148,2,1
"163","Conservatory","+18329198382",FALSE,4.5,339.030098481334,269,"$$","Houston","TX","77002",29.7389633420875,-95.3801736608148,2,1
"164","JINYA Ramen Bar","+18329258596",FALSE,4.5,2945.39937665701,1856,"$$","Houston","TX","77002",29.7389633420875,-95.3801736608148,2,1
"165","Ono Poke","+18328319453",FALSE,4.5,4153.94973171262,523,"$$","Houston","TX","77002",29.7389633420875,-95.3801736608148,2,1
